artist,term_str,n,tf,tfidf
ADELE,92cause,1,6.046314771146986e-05,0.00014870497724392632
ADELE,a,187,0.011306608622044865,0.001554698527192566
ADELE,able,1,6.046314771146986e-05,0.00011333630315715225
ADELE,about,11,0.0006650946248261684,0.0004336927058695583
ADELE,above,4,0.00024185259084587944,0.00027510817431523915
ADELE,aches,1,6.046314771146986e-05,0.00020916812495539618
ADELE,across,1,6.046314771146986e-05,0.00011333630315715225
ADELE,acting,1,6.046314771146986e-05,0.00020916812495539618
ADELE,activate,1,6.046314771146986e-05,0.00020916812495539618
ADELE,actually,1,6.046314771146986e-05,0.00014870497724392632
ADELE,adjust,1,6.046314771146986e-05,0.00020916812495539618
ADELE,admit,1,6.046314771146986e-05,8.824182953245646e-05
ADELE,adore,1,6.046314771146986e-05,0.00020916812495539618
ADELE,advance,1,6.046314771146986e-05,0.00020916812495539618
ADELE,afraid,2,0.00012092629542293972,0.00013755408715761957
ADELE,after,1,6.046314771146986e-05,3.94266096245053e-05
ADELE,again,24,0.0014511155450752766,0.0006666883637036782
ADELE,against,7,0.000423242033980289,0.0010409348407074842
ADELE,age,1,6.046314771146986e-05,0.00011333630315715225
ADELE,ago,2,0.00012092629542293972,0.0002266726063143045
ADELE,ahead,2,0.00012092629542293972,0.00017648365906491293
ADELE,ahooh,14,0.000846484067960578,0.0029283537493755463
ADELE,ahyeahyeahyeahyeahyeah,1,6.046314771146986e-05,0.00020916812495539618
ADELE,ahyeahyeahyeahyeahyeahyeahyeah,2,0.00012092629542293972,0.00041833624991079237
ADELE,ai,82,0.004957978112340528,0.005639717573462402
ADELE,ain92t,1,6.046314771146986e-05,0.00014870497724392632
ADELE,air,4,0.00024185259084587944,0.00021149262178272955
ADELE,all,111,0.006711409395973154,0.0030834336821295117
ADELE,almost,3,0.00018138944313440957,0.00020633113073642936
ADELE,alone,8,0.0004837051816917589,0.0004229852435654591
ADELE,along,1,6.046314771146986e-05,6.877704357880979e-05
ADELE,already,5,0.0003023157385573493,0.0007435248862196315
ADELE,always,30,0.0018138944313440958,0.001182798288735159
ADELE,am,25,0.0015115786927867466,0.0009856652406126326
ADELE,amount,1,6.046314771146986e-05,0.00020916812495539618
ADELE,an,7,0.000423242033980289,0.0003701120881197767
ADELE,and,262,0.015841344700405102,0.004586174116033984
ADELE,anniversary,1,6.046314771146986e-05,0.00020916812495539618
ADELE,another,1,6.046314771146986e-05,5.287315544568239e-05
ADELE,anxious,1,6.046314771146986e-05,0.00014870497724392632
ADELE,any,2,0.00012092629542293972,0.00010574631089136478
ADELE,anybody,1,6.046314771146986e-05,0.00011333630315715225
ADELE,anymore,14,0.000846484067960578,0.0012353856134543905
ADELE,anyone,2,0.00012092629542293972,0.00017648365906491293
ADELE,anything,4,0.00024185259084587944,0.00027510817431523915
ADELE,apart,11,0.0006650946248261684,0.0007565474793669077
ADELE,apology,1,6.046314771146986e-05,0.00020916812495539618
ADELE,appear,1,6.046314771146986e-05,0.00011333630315715225
ADELE,approval,1,6.046314771146986e-05,0.00020916812495539618
ADELE,are,57,0.003446399419553782,0.003013769860403896
ADELE,arms,10,0.0006046314771146986,0.0006877704357880979
ADELE,around,14,0.000846484067960578,0.0007402241762395534
ADELE,as,28,0.001692968135921156,0.0011039450694861484
