topic_id,top_terms,doc_weight_sum,term_freq,mean_document_weight,1970s,1980s,1990s,2000s,2010s,2020s,topic_year_dom
T00,ayy ayy ayy sheesh sweetener river lea river lea help mix,12.864403758622375,0.03236217184716354,0.027966095127439895,0.02263513513513423,0.022286709551238973,0.03730978260866372,0.030570340180514962,0.03167340982952205,0.014531250000000565,1990s
T01,love ooh wait wait love wan trust say know goodnight,8.926963137698717,0.018203311708461668,0.01940644160369283,0.02713963963963978,0.018240587459213434,0.015570652173913697,0.014586894306934132,0.024851657725592165,0.027031250000000007,1970s
T02,shake shake shake gon fake tears dry play tears dry break,10.17550511149486,0.028598376764386427,0.022120663285858353,0.05191441441441265,0.010371440708584619,0.015570652173913697,0.02969292045311107,0.01301536365277033,0.014531250000001827,1970s
T03,ahooh san west got lost mind waste time waste time,9.021720663289445,0.009855144986168069,0.019612436224542236,0.03591532343984425,0.03439148344051954,0.02281702898551521,0.01083138998725504,0.012743086997690879,0.022864583333333265,1970s
T04,ai ava tears ai love love risk risk know got ai got,9.923295462693883,0.017389933470980383,0.021572381440638836,0.027139639639639796,0.01319996543544039,0.03912137681159392,0.013768911171303567,0.03561449546983669,0.014531250000000565,1990s
T05,told say baby told told shit say shit chest shit chest beg,7.714080943262088,0.014678731875936395,0.016769741181004508,0.01362612612612668,0.018029653915576958,0.02644021739130256,0.007837378011211675,0.024080563837768486,0.027031249999999764,2020s
T06,run run hands hands hair hair hands saving love saving love feeling,7.020342800407281,0.006139541095921787,0.015261614783494061,0.01362612612612668,0.014147495712438595,0.026440217391304827,0.01632041194334423,0.009519327938140767,0.014531250000000565,1990s
T07,look love look look knew say time got know said,15.697957221892516,0.03249205632738381,0.03412599396063584,0.013626126126126783,0.032463018483680585,0.03368659420290627,0.034458824483688665,0.04508047605918319,0.031197916666766794,2010s
T08,know love tell hear come day know know day come hear hear,15.603361978783338,0.020896106566343723,0.0339203521277898,0.06542792792792666,0.03234811795977339,0.026440217391304886,0.03642289341682286,0.02451918977639227,0.027031250000000433,1970s
T09,know somethin way need ima time got home space,18.494605732728296,0.05782877830296991,0.04020566463636579,0.02263513513513643,0.046561343624043,0.015570652173913697,0.0410748389917867,0.055939761657889164,0.03328125000000503,2010s
T10,blow let say scars scars say woah lose war candy,7.709811832792474,0.003862259958099512,0.016760460506070565,0.031644144144144314,0.009688375431929616,0.030788043478260894,0.0166768419404929,0.0015545410345751557,0.035364583333332825,2020s
T11,fake getting woo ah smile ah woo fake smile talk say,9.976772312549597,0.014683180435519047,0.0216886354620643,0.01362612612612668,0.005927834606507253,0.043831521739123934,0.0257109760717097,0.02360919144697267,0.014531250000000565,1990s
T12,focus wake know bum bum bum love woo wake wake ai,12.236302379287043,0.035706284989781574,0.026600657346276133,0.01362612612612668,0.024396572161265763,0.01557065217423182,0.02795020522102609,0.03510294864005745,0.031197916666666593,2010s
T13,love love love thank want thank thank ve want love love want hands,15.28289899544894,0.01834667239292575,0.0332236934683672,0.054166666666667175,0.039379398155415773,0.026440217391304987,0.022674521826135503,0.035701172210787925,0.04771754016171908,1970s
T14,know wan waitin man ya make tonight know know wait,11.548829529092368,0.028570145350239134,0.02510615115020075,0.01362612612612668,0.01746588476965171,0.02644021739130447,0.0369096031766934,0.01312946590534892,0.027031250000000034,2000s
T15,yeah hope august love tomorrow tomorrow remember case plans case plans,10.049114257410839,0.010485580442770384,0.021845900559588738,0.04740990990990765,0.018273513618669596,0.04817934782608615,0.02322717865601689,0.0015545410345751568,0.014531250000000565,1990s
T16,hold love karma hands love love clap clap hands hands yall yall,10.790271846467041,0.032237514353108836,0.023457112709710914,0.01362612612612668,0.01823666084568175,0.015570652173913697,0.028698442416253033,0.024930289525683408,0.027031249999999875,2000s
T17,want want want got want got said know head make got want,12.44091562655542,0.02144438309435488,0.027045468753381298,0.01362612612612668,0.015056547718696814,0.026440217391304956,0.04067883237950253,0.012655096486486446,0.039531250000000476,2000s
T18,know love gon leave got said ooh ve nan,15.7182941254222,0.03882999995685446,0.03417020462048298,0.03187746935294658,0.025881590402576878,0.026440217391301736,0.05497917032040801,0.01644266846344197,0.014531250000001791,2000s
