term_str,n,p,i,n_chars,max_pos_group,max_pos,stop,porter_stem,df,idf,dfidf
,12014,0.1285607276618512,2.959478094993413,0,",",",",0,,,,
i,4849,0.0518887105403959,4.268435505123553,1,PR,PRP,1,i,10.0,0.13750352374993502,1.3750352374993502
you,3962,0.0423970037453183,4.559893878630397,3,PR,PRP,1,you,10.0,0.13750352374993502,1.3750352374993502
the,2130,0.0227929373996789,5.455269328406682,3,DT,DT,1,the,11.0,0.0,0.0
it,2056,0.0220010700909577,5.506282494326005,2,PR,PRP,1,it,8.0,0.45943161863729726,3.675452949098378
to,1682,0.0179989299090422,5.795945053264738,2,TO,TO,1,to,10.0,0.13750352374993502,1.3750352374993502
me,1653,0.0176886035313001,5.821036034227569,2,PR,PRP,1,me,8.0,0.45943161863729726,3.675452949098378
and,1614,0.0172712680577849,5.855482180242102,3,CC,CC,1,and,9.0,0.289506617194985,2.605559554754865
my,1325,0.0141787051899411,6.140130399181959,2,PR,PRP$,1,my,10.0,0.13750352374993502,1.3750352374993502
nt,1261,0.013493846976993,6.211554483191663,2,RB,RB,0,nt,6.0,0.874469117916141,5.246814707496846
a,1092,0.0116853932584269,6.41914990260003,1,DT,DT,1,a,10.0,0.13750352374993502,1.3750352374993502
s,951,0.0101765650080256,6.618605512659319,1,VB,VBZ,1,s,6.0,0.874469117916141,5.246814707496846
in,919,0.0098341359015516,6.667985992230848,2,IN,IN,1,in,11.0,0.0,0.0
your,858,0.0091813804173354,6.767073206020338,4,PR,PRP$,1,your,8.0,0.45943161863729726,3.675452949098378
do,849,0.0090850722311396,6.782286299966844,2,VB,VBP,1,do,7.0,0.6520766965796931,4.564536876057852
that,845,0.0090422685928303,6.789099512350337,4,IN,IN,1,that,8.0,0.45943161863729726,3.675452949098378
m,840,0.0089887640449438,6.79766152585376,1,VB,VBP,1,m,6.0,0.874469117916141,5.246814707496846
love,757,0.0081005885500267,6.947757553534151,4,NN,NN,0,love,11.0,0.0,0.0
of,688,0.007362225789192,7.085642288817785,2,IN,IN,1,of,10.0,0.13750352374993502,1.3750352374993502
be,665,0.0071161048689138,7.134696513131331,2,VB,VB,1,be,7.0,0.6520766965796931,4.564536876057852
but,623,0.0066666666666666,7.22881869049588,3,CC,CC,1,but,7.0,0.6520766965796931,4.564536876057852
yeah,613,0.0065596575708935,7.252163779829101,4,UH,UH,0,yeah,7.0,0.6520766965796931,4.564536876057852
all,612,0.0065489566613162,7.254519200827231,3,DT,DT,1,all,8.0,0.45943161863729726,3.675452949098378
we,607,0.0064954521134296,7.2663543372642,2,PR,PRP,1,we,6.0,0.874469117916141,5.246814707496846
know,603,0.0064526484751203,7.275892851619798,4,VB,VBP,0,know,7.0,0.6520766965796931,4.564536876057852
so,593,0.0063456393793472,7.300018748973879,2,RB,RB,1,so,7.0,0.6520766965796931,4.564536876057852
on,579,0.0061958266452648,7.334487505530646,2,IN,IN,1,on,9.0,0.289506617194985,2.605559554754865
is,576,0.0061637239165329,7.34198204207757,2,VB,VBZ,1,is,9.0,0.289506617194985,2.605559554754865
for,576,0.0061637239165329,7.34198204207757,3,IN,IN,1,for,9.0,0.289506617194985,2.605559554754865
like,529,0.0056607811663991,7.4647831314058575,4,IN,IN,0,like,9.0,0.289506617194985,2.605559554754865
